Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,61.14092,21.447752,61.14092,3,Finland,Esturine,Temperate,Autumn,Temp,Increase,17.5,2.5,15,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,17.2677,1.621,16.391,2.167,(±SE),3.624666192,4.845559307,Fig. 5,5,5
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,60.37046,25.689231,60.37046,3,Finland,Esturine,Temperate,Autumn,Temp,Increase,17.5,2.5,15,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,20.475,2.0025,19.332,2.219,(±SE),4.477726125,4.961834842,Fig. 5,5,5
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,4,Adult,native,61.14092,21.447752,61.14092,6,Finland,Esturine,Temperate,Autumn,Sal,Decrease,3.5,2,5.5,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Reproduction,Reproduction,1,0.0103,0.0078,0.1948,0.0408,(±SE),0.03821204,0.199878363,Fig. 4,24,24
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,5,Adult,native,61.14092,21.447752,61.14092,7,Finland,Esturine,Temperate,Autumn,Sal,Decrease,3.5,2,5.5,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Reproduction,Reproduction,1,0.0201,0.0158,0.487,0.0704,(±SE),0.061193137,0.272658028,Fig. 4,15,15
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,62.384687,21.218092,62.384687,3,Finland,Esturine,Temperate,Autumn,Temp,Increase,17.5,2.5,15,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Reproduction,Reproduction,1,0.0103,0.0078,0.1948,0.0408,(±SE),0.03821204,0.199878363,Fig. 4,24,24
Rothäusler et al 2018,2018,2,Heterokonta,Heterokonta,Fucus vesiculosus,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,61.14092,21.447752,61.14092,3,Finland,Esturine,Temperate,Autumn,Temp,Increase,17.5,2.5,15,Constant,0,0.2,Day,Day,14,42,0,56,No,Lab,Ind,Yes,Reproduction,Reproduction,1,0.0201,0.0158,0.487,0.0704,(±SE),0.061193137,0.272658028,Fig. 4,15,15
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,59.847416,22.939571,59.847416,3,Finland,Esturine,Temperate,Spring,Sal,Decrease,2.5,2.5,5,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.3157,0.0744,0.7492,0.0898,(±95%CI),0.092980631,0.112226622,Fig. 2c,6,6
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,56.155297,15.184024,56.155297,3,Sweden,Esturine,Temperate,Spring,Sal,Decrease,4,3,7,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.2713,0.0828,0.4512,0.0863,(±95%CI),0.103478444,0.107852533,Fig. 2b,6,6
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,55.622156,12.979481,55.622156,3,Sweden,Esturine,Temperate,Spring,Sal,Decrease,7,5,12,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.6239,0.1007,0.8182,0.0827,(±95%CI),0.125848784,0.125848784,Fig. 2a,6,6
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,59.847416,22.939571,59.847416,3,Finland,Esturine,Temperate,Spring,Temp,Increase,14,3,11,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.3157,0.0744,0.7492,0.0898,(±95%CI),0.092980631,0.112226622,Fig. 2c,6,6
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,55.622156,12.979481,55.622156,3,Sweden,Esturine,Temperate,Spring,Temp,Increase,17,3,14,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.6239,0.1007,0.8182,0.0827,(±95%CI),0.125848784,0.125848784,Fig. 2a,6,6
Rugiu et al 2018,2018,1,Arthropoda,Ispoda,Idotea balthica,Isopod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,56.155297,15.184024,56.155297,3,Sweden,Esturine,Temperate,Spring,Temp,Increase,18,4,14,Constant,2,0,None,None,0,55,0,55,No,Lab,Ind,Yes,Survival,Survival probability,1,0.2713,0.0828,0.4512,0.0863,(±95%CI),0.103478444,0.107852533,Fig. 2b,6,6
Sampaio et al 2017,2017,3,Arthropoda,Arthropoda,Melita palmata,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,16.1,2.6,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.0396,0.003,0.0227,0.0058,(±SE),0.008485281,0.016404877,Fig. 3a,8,8
Sampaio et al 2017,2017,3,Arthropoda,Arthropoda,Melita palmata,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,19.9,6.4,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.0329,0.0097,0.0227,0.0058,(±SE),0.027435743,0.016404877,Fig. 3a,8,8
Sampaio et al 2017,2017,3,Arthropoda,Arthropoda,Melita palmata,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,22.1,8.6,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.053,0.0061,0.0227,0.0058,(±SE),0.017253405,0.016404877,Fig. 3a,8,8
Sampaio et al 2017,2017,3,Mollusca,Gastropoda,Gibbula umbilicalis,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,16.1,2.6,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.0033767,0.0004682,0.003247,0.000588,(±SE),0.00132427,0.001663115,Fig. 3a,8,8
Sampaio et al 2017,2017,3,Mollusca,Gastropoda,Gibbula umbilicalis,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,19.9,6.4,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.003969,0.0009973,0.003247,0.000588,(±SE),0.00282079,0.001663115,Fig. 3a,8,8
Sampaio et al 2017,2017,3,Mollusca,Gastropoda,Gibbula umbilicalis,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,41.744932,-8.89159,41.744932,1,Portugal,Marine,Temperate,Summer,Temp,Increase,22.1,8.6,13.5,Constant,1,0,None,None,0,2,0,2,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,0.0017425,0.000412,0.003247,0.000588,(±SE),0.001165312,0.001663115,Fig. 3a,8,8
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5063,0.031,0.5029,0.0192,(±SE),0.082018291,0.050798425,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5054,0.0236,0.5029,0.0192,(±SE),0.062439731,0.050798425,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4971,0.0395,0.5029,0.0192,(±SE),0.104507177,0.050798425,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4675,0.0074,0.5029,0.0192,(±SE),0.01957856,0.050798425,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.31215,0.03285,0.3426,0.0267,(±SE),0.086912931,0.07064156,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.2854,0.0147,0.3426,0.0267,(±SE),0.038892544,0.07064156,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.2899,0.0512,0.3426,0.0267,(±SE),0.135462467,0.07064156,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.2698,0.0192,0.3426,0.0267,(±SE),0.050798425,0.07064156,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.343,0.0257,0.2957,0.0353,(±SE),0.067995809,0.093395021,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4275,0.0257,0.2957,0.0353,(±SE),0.067995809,0.093395021,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4331,0.0117,0.2957,0.0353,(±SE),0.03095529,0.093395021,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3618,0.0064,0.2957,0.0353,(±SE),0.016932808,0.093395021,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0596,0.0048,0.0398,0.0058,(±SE),0.012699606,0.015345358,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0594,0.0059,0.0398,0.0058,(±SE),0.015609933,0.015345358,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0609,0.0035,0.0398,0.0058,(±SE),0.00926013,0.015345358,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Chlorophyta,Chlorophyta,Caulerpa cylindracea,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0523,0.0053,0.0398,0.0058,(±SE),0.014022482,0.015345358,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0337,0.0017,0.0121,0.0012,(±SE),0.004497777,0.003174902,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.025,0.0019,0.0121,0.0012,(±SE),0.005026927,0.003174902,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0151,0.0015,0.0121,0.0012,(±SE),0.003968627,0.003174902,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Acrothamnion preissii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.00558,0.001615,0.0121,0.0012,(±SE),0.004272888,0.003174902,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,25,2,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0256,0.0024,0.005397,0.0022838,(±SE),0.006349803,0.006042367,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,27,4,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.0414,0.0049,0.005397,0.0022838,(±SE),0.012964181,0.006042367,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,6,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.064,0.0066,0.005397,0.0022838,(±SE),0.017461959,0.006042367,Fig. 1,7,7
Samperio-Ramos et al 2015,2015,3,Rhodophyta,Rhodophyta,Lophocladia lallemandii,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,nns,39.584538,2.327476,39.584538,1,Spain,Marine,Mediterranean,Spring,Temp,Increase,31,8,23,Constant,3,0,None,None,0,8,0,8,No,Lab,Ind,Yes,Growth,Growth,1,0.015,0.0019,0.005397,0.0022838,(±SE),0.005026927,0.006042367,Fig. 1,7,7
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,21,3,18,Constant,2,3,Day,Day,1,21,0,22,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,24,6,18,Constant,2,3,Day,Day,2,21,0,23,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,26,8,18,Constant,2,3,Day,Day,2.7,21,0,23.7,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,28,10,18,Constant,2,3,Day,Day,3.3,21,0,24.3,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,30,12,18,Constant,2,3,Day,Day,4,21,0,25,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,32,14,18,Constant,2,3,Day,Day,4.7,21,0,25.7,No,Lab,Ind,No,,,,,,,,,,,,,
Savva et al 2018,2018,6,Comm,Comm,Comm,Macrophyte,Macrophyte,Macrophyte,Primary producer,Autotroph,Plant,Comm,1,Adult,native,39.527306,2.565241,39.527306,1,Spain,Marine,Mediterranean,Winter,Temp,Increase,34,16,18,Constant,2,3,Day,Day,5.3,21,0,26.3,No,Lab,Ind,No,,,,,,,,,,,,,
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5292,0.0352,0.5602,0.0276,(±SD),0.0352,0.0276,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.515,0.0202,0.5787,0.0227,(±SD),0.0202,0.0227,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4493,0.0112,0.5602,0.0276,(±SD),0.0112,0.0276,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4616,0.0162,0.5787,0.0227,(±SD),0.0162,0.0227,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4909,0.035,0.5694,0.0076,(±SD),0.035,0.0076,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5053,0.0279,0.5829,0.0198,(±SD),0.0279,0.0198,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3632,0.0262,0.5694,0.0076,(±SD),0.0262,0.0076,Fig. 3,4,4
Scherner et al 2013,2013,2,Chlorophyta,Chlorophyta,Ulva lactuca,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3728,0.02,0.5829,0.0198,(±SD),0.02,0.0198,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5827,0.0281,0.6231,0.0152,(±SD),0.0281,0.0152,Fig. 3,4,4
